SubTime	NumProcs	ExeTime
895382	32	233
895793	32	9654
895864	128	2281
896131	256	1212
896517	64	346
897129	128	7408
897358	128	153
897521	128	274
898771	64	105
898795	512	195
898812	128	393
899155	64	6463
899536	128	249
900121	64	246
900136	128	59
900321	128	451
900775	128	187
900796	128	79
901019	64	120
901164	64	4329
901300	128	18
901315	128	4243
901323	128	13
901335	128	23
901341	128	14
901489	128	311
905183	64	843
905283	128	58
905726	128	163
905732	32	705
905770	128	184
906173	32	102
906255	128	100
906331	128	1169
906490	32	153
906513	128	36
906546	64	4372
906590	128	71
906665	128	2017
906679	128	36
906882	32	146
907420	32	9514
907427	32	754
907641	128	48
907740	128	242
908115	32	110
908166	128	50
908187	32	722
908356	128	323
908400	32	30
908741	32	359
908795	32	45
908801	32	186
908817	32	12
908983	512	6501
909032	128	5970
909051	32	174
909055	256	1865
909353	64	154
909470	32	50
909492	32	160
909606	128	175
909629	128	194
909795	32	155
909848	128	5747
909864	32	7072
910126	128	5939
910211	64	18
910237	32	237
910946	32	6042
911067	32	5917
911083	32	215
914050	128	19
916254	128	18389
916960	128	9410
917027	512	9289
917041	32	8253
917050	256	9146
917050	128	9326
917055	32	9024
917083	64	9060
917585	32	7720
918654	128	5988
921520	128	3797
923323	32	1922
924279	32	618
925426	32	531
925426	32	531
927754	256	126
927754	256	126
927754	512	126
927754	512	127
927755	64	60
927755	128	60
927755	64	124
927755	128	124
927814	32	63
927814	32	63
927814	32	63
927814	32	64
927814	64	64
927814	128	64
927874	256	63
927874	512	63
927874	256	424
927874	512	424
927875	64	61
927875	128	61
927875	32	182
927875	64	301
927875	64	362
927875	128	363
927875	128	423
927876	32	59
927876	32	60
927876	32	118
927876	32	361
927933	512	61
927933	512	364
927934	32	123
927934	64	182
927934	128	241
927934	256	303
927934	256	363
927935	32	121
927935	32	301
927993	512	304
928056	32	59
928056	32	59
928056	32	59
928056	32	60
928114	32	60
928114	32	61
928114	64	61
928114	32	122
928114	32	122
928174	64	61
928174	128	61
928174	32	122
928174	32	122
928234	32	59
928234	32	60
928234	64	60
928234	64	60
928234	64	61
928234	128	61
928234	128	61
928414	512	619
928672	256	361
928774	128	258
928911	64	121
928976	32	117
929273	64	59
929332	64	108
929393	32	46
929499	512	5083
929689	256	4983
929689	128	5014
929697	64	5058
929698	32	5179
929700	32	5177
935027	512	63
935027	256	364
935027	512	365
935027	256	962
935027	512	1795
935028	128	61
935028	256	62
935028	64	244
935028	64	363
935028	128	363
935028	128	544
935029	32	59
935029	32	60
935029	64	60
935029	32	119
935029	32	120
935029	32	361
935029	32	361
935087	256	423
935088	32	121
935088	32	121
935088	64	121
935088	128	242
935148	32	60
935148	512	899
935207	32	64
935207	32	64
935207	64	64
935208	32	63
935270	32	59
935270	32	59
935270	64	59
935270	64	60
935327	128	63
935328	32	61
935328	32	61
935328	64	61
935328	64	120
935328	32	1297
935328	32	1298
935388	128	60
935388	256	60
935388	64	121
935388	128	122
935388	64	1237
935447	512	62
935448	128	124
935508	256	63
935508	256	63
935508	512	121
935509	128	119
935570	256	58
935570	256	58
935571	128	1310
935627	256	120
935627	256	1315
935687	512	60
935747	512	61
935808	512	61
935869	512	119
935988	512	953
936385	32	218
937001	512	1202
937002	512	62
937002	512	364
937002	256	960
937003	256	61
937003	256	362
937004	128	59
937004	128	361
937004	128	542
937005	32	58
937005	64	58
937005	32	120
937005	32	120
937005	64	239
937005	32	359
937005	64	360
937006	32	56
937006	32	358
937061	64	123
937061	128	183
937061	256	425
937061	512	962
937062	32	62
937062	32	122
937124	32	59
937124	32	59
937124	32	59
937182	32	60
937182	32	61
937182	32	61
937182	64	61
937182	32	122
937242	32	61
937242	64	61
937242	128	62
937242	32	122
937302	32	61
937302	64	61
937302	128	61
937302	64	123
937302	32	901
937303	32	899
937361	512	64
937362	64	62
937362	128	62
937362	256	63
937362	128	123
937362	64	840
937423	512	62
937423	256	123
937424	128	121
937484	512	120
937485	128	717
937545	256	59
937601	512	61
937603	256	120
937603	256	598
937662	512	119
937781	512	180
937961	512	240
938508	256	233
938508	512	233
939611	512	59
939670	256	60
939790	32	32
940107	32	100
940293	32	955
941259	32	1222
943711	64	4300
948032	64	1146
948217	32	6269
948927	64	5028
952533	32	1571
959938	64	8621
979266	128	19720
993901	32	180
996492	512	310
996492	512	387
996492	256	993
996492	512	1885
996493	128	308
996493	256	309
996493	128	385
996493	256	385
996493	128	565
996795	512	837
996796	128	82
996796	256	205
996877	128	39
996877	512	39
996877	128	61
996877	256	61
996915	128	85
996915	512	86
996937	256	121
996938	128	120
997000	256	57
997000	512	106
997000	128	1262
997057	256	89
997106	256	161
997146	512	60
997146	256	1176
997206	512	141
997347	512	137
997484	512	1307
998377	256	60
998377	256	351
998377	256	951
998437	256	415
998550	128	61
998550	128	359
998550	128	537
998611	128	180
998728	256	62
998790	128	62
998790	256	62
998851	128	58
998851	256	58
998851	256	73
998908	128	78
998908	256	79
998923	128	121
998983	512	61
998983	512	405
998983	512	1106
998986	256	100
998986	128	136
998986	256	1103
999043	128	1045
999043	512	1046
999388	512	99
999487	512	119
999641	512	61
999701	512	120
999821	512	146
